filename,link,file_id,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
7643.jpg,http://assets.myntassets.com/v1/images/style/properties/475fdf910cb6616b9582a50297f2fce4_images.jpg,7643,7643,Men,Apparel,Tops,Tshirts,Red,Fall,2011.0,Sports,Puma Men's Ducati Logo Red T-shirt
58734.jpg,http://assets.myntassets.com/v1/image/style/properties/58734/PUMA-Men-Red-Printed-T-shirt_1_a6dacbea856341c01acf0a07d2003957.jpg,58734,58734,Men,Apparel,Tops,Tshirts,Red,Fall,2012.0,Sports,PUMA Men Red Printed T-shirt
14643.jpg,http://assets.myntassets.com/v1/images/style/properties/e16592ca3f9a35ea616d08acd02b6252_images.jpg,14643,14643,Men,Apparel,Tops,Shirts,White,Fall,2011.0,Casual,Probase Men Classic White White Shirts
38340.jpg,http://assets.myntassets.com/v1/images/style/properties/864e3956926fcc6b2cdba1efdd560ae6_images.jpg,38340,38340,Girls,Apparel,Tops,Tops,Off White,Summer,2012.0,Casual,Mr. Men Little Miss Girls Off White Top
34028.jpg,http://assets.myntassets.com/v1/images/style/properties/864617ce4fada18224ad8ba5fe4b9e84_images.jpg,34028,34028,Boys,Apparel,Tops,Shirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Check White & Black Shirt
34444.jpg,http://assets.myntassets.com/v1/images/style/properties/2863c95846f0b7a87dcb3e6bed7634d9_images.jpg,34444,34444,Women,Apparel,Tops,Tshirts,Peach,Summer,2012.0,Casual,Myntra Women Peach Peace Love Chocolate T-shirt
31257.jpg,http://assets.myntassets.com/v1/images/style/properties/4ab0b1ad6ea09b9931dc5ebfe87f2094_images.jpg,31257,31257,Men,Apparel,Tops,Tshirts,Green,Summer,2012.0,Casual,Puma Men Semi Graphic Green T-shirt
42419.jpg,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg,42419,42419,Girls,Apparel,Tops,Tops,White,Summer,2012.0,Casual,Gini and Jony Girls Knit White Top
10799.jpg,http://assets.myntassets.com/v1/images/style/properties/108b7864fa8e46dcec4ec5b25e4b1a93_images.jpg,10799,10799,Men,Apparel,Tops,Shirts,Navy Blue,Fall,2011.0,Casual,Wrangler Men Wander Wheels Navy Blue Shirts
9240.jpg,http://assets.myntassets.com/v1/images/style/properties/32447e64d2784285a91879eeb6da5a4c_images.jpg,9240,9240,Men,Apparel,Tops,Shirts,Black,Fall,2011.0,Formal,Mark Taylor Men Light Grey Striped Shirt
22477.jpg,http://assets.myntassets.com/v1/images/style/properties/Timberland-Men-Red-T-shirt_46035a6df9adb308af219d8bd337099b_images.jpg,22477,22477,Men,Apparel,Tops,Tshirts,Red,Summer,2012.0,Sports,Timberland Men Red T-shirt
28473.jpg,http://assets.myntassets.com/v1/images/style/properties/07d5d548849b56cdf2cbb469d512ddd9_images.jpg,28473,28473,Women,Apparel,Tops,Tops,Turquoise Blue,Summer,2012.0,Casual,Urban Yoga Women Printed Turquoise Blue Top
32397.jpg,http://assets.myntassets.com/v1/images/style/properties/7389317ad313edcb88808e5f1c3ebeed_images.jpg,32397,32397,Women,Apparel,Tops,Shirts,Pink,Summer,2012.0,Formal,Arrow Woman Pink Stiped Shirt
44845.jpg,http://assets.myntassets.com/v1/images/style/properties/53be1921120034b8e35ea0e61d5b8cfc_images.jpg,44845,44845,Men,Apparel,Tops,Tshirts,Red,Summer,2012.0,Casual,Puma Men Red Ducati Logo T-shirt
37935.jpg,http://assets.myntassets.com/v1/images/style/properties/6f417c62204d643c517555b03907cb33_images.jpg,37935,37935,Women,Apparel,Tops,Tops,Teal,Summer,2012.0,Casual,Mineral Women Teal Top
43592.jpg,http://assets.myntassets.com/v1/images/style/properties/00d25ceb851a576583725beb9e1cb8a2_images.jpg,43592,43592,Girls,Apparel,Tops,Tshirts,Pink,Summer,2012.0,Casual,Gini and Jony Girls Polo Striped Pink T-shirt
22481.jpg,http://assets.myntassets.com/v1/images/style/properties/e3e6ae97b05dd06058b15c3d49540b40_images.jpg,22481,22481,Men,Apparel,Tops,Tshirts,Green,Summer,2011.0,Casual,Timberland Men Green Linear Logo T-Shirt
12643.jpg,http://assets.myntassets.com/v1/images/style/properties/b42255f3f4d066dfd91255c5b48cccfb_images.jpg,12643,12643,Men,Apparel,Tops,Tshirts,Black,Fall,2011.0,Casual,Probase Men Solid Black  Polo T-shirts
27596.jpg,http://assets.myntassets.com/v1/images/style/properties/4dcb53b3b8841ace355c9256c1a323ca_images.jpg,27596,27596,Men,Apparel,Tops,Tshirts,Black,Summer,2012.0,Casual,Scullers Men Black T-shirt
34447.jpg,http://assets.myntassets.com/v1/images/style/properties/2a93f6dd4a9c6fc3f7bdae512dd5e673_images.jpg,34447,34447,Women,Apparel,Tops,Tshirts,Peach,Summer,2012.0,Casual,Myntra Women Peace Not War Peach T-shirt
16409.jpg,http://assets.myntassets.com/v1/images/style/properties/9bbaec4b5e25c0945dbba3cb5a16aadd_images.jpg,16409,16409,Men,Apparel,Tops,Shirts,Grey,Fall,2011.0,Casual,Levis Men Striped Grey Shirt
11478.jpg,http://assets.myntassets.com/v1/images/style/properties/e166bc71fc8e325fc41ba6093993fccc_images.jpg,11478,11478,Men,Apparel,Tops,Tshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Blue Polo T-shirt
14654.jpg,http://assets.myntassets.com/v1/images/style/properties/c386786f778eb40fdeed6ff3ca74f0db_images.jpg,14654,14654,Men,Apparel,Tops,Tshirts,Blue,Fall,2011.0,Casual,Probase Men Funky Music Aqua Blue Tshirts
19115.jpg,http://assets.myntassets.com/v1/images/style/properties/403337702c6d86183a4f4317661cebb2_images.jpg,19115,19115,Men,Apparel,Tops,Tshirts,White,Summer,2016.0,Casual,Campbell Men Pack of 3 Solid Tshirts
6714.jpg,http://assets.myntassets.com/v1/images/style/properties/9ca3d18fe6d53e4aaab4412af7129bc9_images.jpg,6714,6714,Men,Apparel,Tops,Tshirts,White,Summer,2011.0,Casual,Locomotive Men's Round Neck White T-shirt
16899.jpg,http://assets.myntassets.com/v1/images/style/properties/8eac2dd2e0723da9363cded6fe1dde83_images.jpg,16899,16899,Men,Apparel,Tops,Tshirts,Black,Fall,2011.0,Casual,Status Quo Men Black Polo Tshirt
8448.jpg,http://assets.myntassets.com/v1/images/style/properties/fa051153e8ae94d87a9cfebdbc607c64_images.jpg,8448,8448,Women,Apparel,Tops,Tops,Grey,Fall,2011.0,Casual,Jealous 21 Women about my style Purple Top
10066.jpg,http://assets.myntassets.com/v1/images/style/properties/b9c52b5667d67014a17e00d31f001530_images.jpg,10066,10066,Men,Apparel,Tops,Tshirts,Black,Fall,2011.0,Casual,Puma Men Puma midrange tee Black Tshirts
41585.jpg,http://assets.myntassets.com/v1/images/style/properties/d1c612dd4faee1feb779992f36f9250c_images.jpg,41585,41585,Men,Apparel,Tops,Shirts,White,Summer,2012.0,Casual,Basics Men White Striped Shirt
11404.jpg,http://assets.myntassets.com/v1/images/style/properties/ff6aa5a7cfef7e12a1bee66ac6df3363_images.jpg,11404,11404,Men,Apparel,Tops,Shirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Solid Black Shirts
44803.jpg,http://assets.myntassets.com/v1/images/style/properties/d965c65564a472d7dd56dc5fcaf785fa_images.jpg,44803,44803,Women,Apparel,Tops,Tops,Grey,Summer,2012.0,Casual,Spykar Women Grey T-shirt
52147.jpg,http://assets.myntassets.com/v1/images/style/properties/391444821ae562160d9c3c615b1f6c29_images.jpg,52147,52147,Women,Apparel,Tops,Tshirts,Lime Green,Summer,2012.0,Casual,Femella Women Green Polo T-Shirt
4415.jpg,http://assets.myntassets.com/v1/images/style/properties/902e75fae7b9911f5dd444490d8cbf07_images.jpg,4415,4415,Men,Apparel,Tops,Tshirts,Black,Summer,2011.0,Casual,Marvel Comics Men's The Incredible Face Distresse Black T-shirt
12666.jpg,http://assets.myntassets.com/v1/images/style/properties/22e63fd29bceb815b51a77090e07244c_images.jpg,12666,12666,Men,Apparel,Tops,Shirts,Grey,Fall,2011.0,Casual,Probase Men Check Grey Shirts
4251.jpg,http://assets.myntassets.com/v1/images/style/properties/70b6de7d2da066befa9240400bccd709_images.jpg,4251,4251,Men,Apparel,Tops,Tshirts,Green,Summer,2011.0,Casual,Probase Men's Crack Print Ghost Buster Grey T-shirt
13455.jpg,http://assets.myntassets.com/v1/images/style/properties/a7d17015b81dddf481e1b636fc464688_images.jpg,13455,13455,Women,Apparel,Tops,Tshirts,White,Summer,2011.0,Casual,United Colors of Benetton Women White Polo T-shirts
2741.jpg,http://assets.myntassets.com/v1/images/style/properties/cf8defc53a6242dc720dc826c169ca11_images.jpg,2741,2741,Girls,Apparel,Tops,Tops,Pink,Summer,2011.0,Casual,Disney Kids Girl's Pink Kidswear
29051.jpg,http://assets.myntassets.com/v1/images/style/properties/fa0a250e358445e0ebe47e246ed29d1f_images.jpg,29051,29051,Men,Apparel,Tops,Tshirts,Black,Summer,2012.0,Casual,ADIDAS Men Urban Movement Black T-shirt
20320.jpg,http://assets.myntassets.com/v1/images/style/properties/6936945854a2efca21b0fcd9ca5703d5_images.jpg,20320,20320,Men,Apparel,Tops,Shirts,White,Summer,2011.0,Casual,Mother Earth Men Solid White Shirt
37765.jpg,http://assets.myntassets.com/v1/images/style/properties/e97c6c9ef69190a45325b359f290457f_images.jpg,37765,37765,Men,Apparel,Tops,Shirts,Yellow,Summer,2012.0,Casual,John Players Men Yellow Check Shirt
